상권_코드_명,1분기 covid 영향력,2분기 covid 영향력,3분기 covid 영향력,4분기 covid 영향력,상권_평균_점포수(scaling),상권_평균_점포수,segment
가재울로6길,-0.06420000000000003,-0.0605,-0.09340000000000004,-0.07979999999999998,0.1355,76.0,20
가좌로7길,-0.11459999999999992,-0.18669999999999987,-0.14460000000000006,-0.18220000000000003,-0.252,53.0,0
갈현로1길,-0.44199999999999984,-0.4315,-0.5137,-0.28889999999999993,0.1068,74.0,24
갈현로7길,-0.10920000000000007,-0.1342000000000001,-0.07409999999999994,-0.05070000000000008,0.0,67.0,14
강남시장_동작,0.27479999999999993,-0.0019000000000000128,-0.06519999999999992,-0.2911,-1.9425,11.0,4
강동대로53길,-0.2531,-0.24519999999999997,-0.18730000000000002,-0.30120000000000013,1.1206,190.0,17
강서구청,-0.13339999999999996,-0.10619999999999996,-0.11310000000000009,-0.26,2.0452,449.0,3
개봉동 현대아파트 인근,-0.03049999999999997,-0.0766,-0.17820000000000003,-0.17530000000000012,1.0322,175.0,17
개봉로17길,-0.1644000000000001,0.01990000000000003,-0.07720000000000005,-0.13959999999999995,-0.5545,40.0,10
개봉로17다길,-0.26080000000000003,-0.3134,-0.2733000000000001,-0.25329999999999997,-0.7945,32.0,12
개봉로20길,-0.05590000000000006,-0.04620000000000002,-0.17659999999999998,-0.22329999999999994,-0.1928,56.0,14
개봉로23가길,-0.10870000000000002,-0.06759999999999988,-0.07089999999999996,-0.09699999999999998,0.7923,140.0,13
개봉로2길,-0.16380000000000006,-0.1846000000000001,-0.15000000000000002,-0.21610000000000007,0.0159,68.0,9
개봉중앙시장,-0.00019999999999997797,-0.040899999999999936,-0.03859999999999997,-0.007200000000000095,-1.8489,12.0,4
개운사길,-0.248,-0.3094999999999999,-0.3106,-0.3998999999999999,0.6355,121.0,16
건대입구역,0.3898999999999999,-0.02279999999999993,-0.42669999999999997,-0.2619,-0.1009,61.0,14
겸재로54길,-0.022500000000000187,-0.10780000000000012,-0.1472000000000001,-0.10420000000000007,-0.1009,61.0,14
경인로31길,-0.18010000000000004,-0.10430000000000006,-0.17590000000000006,-0.16579999999999995,-0.1928,56.0,14
경인로35길,0.12759999999999994,0.2569,0.25119999999999987,0.11929999999999996,0.483,105.0,5
경인로47길,-0.27149999999999996,-0.3699,-0.3044000000000001,-0.3488,1.0861,184.0,1
경희대로3길,0.11560000000000015,0.041899999999999826,0.024900000000000144,-0.1473000000000001,0.4088,98.0,5
경희대로4길,-0.22539999999999993,-0.27480000000000004,-0.22110000000000007,-0.34109999999999996,0.5714,114.0,16
경희대학교,-0.2208,-0.24420000000000008,-0.1652,-0.28690000000000004,1.3071,226.0,17
계동길,0.00019999999999997797,-0.129,-0.08840000000000003,-0.18379999999999996,0.2684,86.0,20
고무래로8길,-0.09630000000000005,-0.18390000000000017,-0.1785,-0.26759999999999995,0.4518,102.0,20
고산자로6길,-0.3237000000000001,-0.2751000000000001,-0.3284,-0.4003,0.0471,70.0,24
고속터미널역,-0.46440000000000003,-0.5413,-0.4042,-0.4555999999999999,1.6709,317.0,21
고척근린시장,0.5152999999999999,0.38759999999999994,0.49540000000000006,0.30400000000000005,-0.1928,56.0,18
고척로21나길,-0.0825999999999999,-0.061900000000000066,-0.10929999999999995,-0.009500000000000064,0.1907,80.0,20
고척로27길,0.1524000000000001,0.18590000000000007,0.14779999999999993,-0.10389999999999988,0.0,67.0,18
고척로27다길,-0.12080000000000002,-0.13770000000000004,-0.12159999999999993,-0.03149999999999997,-0.528,41.0,10
고척로52길,-0.3489,-0.2679,-0.3567,-0.3045,-0.9771,27.0,12
공릉로58길,-0.019000000000000017,-0.11319999999999997,-0.07819999999999994,-0.1531,-0.2319,54.0,14
공항대로55길,-0.2328,-0.2316999999999999,-0.29700000000000004,-0.26680000000000004,-0.4521,44.0,0
관악로30길,-0.1611999999999999,-0.16770000000000007,-0.17369999999999997,-0.26469999999999994,0.1068,74.0,9
광나루로12길,-0.1916000000000001,-0.23439999999999994,-0.24350000000000016,-0.2856000000000001,0.5232,109.0,16
광나루로24길,-0.10129999999999995,-0.29080000000000006,-0.1652999999999999,-0.2531000000000001,0.5232,109.0,16
광나루로36길,0.030099999999999905,-0.07930000000000004,0.04609999999999992,-0.06390000000000007,-0.1738,57.0,14
광성로6길,0.0938,0.06040000000000012,0.023499999999999965,-0.07509999999999994,-0.0662,63.0,14
교대역_1,-0.04080000000000006,-0.0636000000000001,-0.0865999999999999,-0.10729999999999995,2.4755,670.0,3
교대역_2,-0.17000000000000004,-0.14569999999999994,-0.19190000000000007,-0.1701999999999999,1.3445,234.0,17
교대역_3,-0.02849999999999997,-0.030399999999999983,-0.0018000000000000238,-0.1583,0.5133,108.0,20
교대역_4,-0.10130000000000006,-0.09540000000000004,-0.1368999999999999,-0.18979999999999997,1.1149,189.0,17
남대문시장,-0.1412,-0.1724,-0.28880000000000006,-0.33940000000000003,2.313,576.0,3
남부순환로325길,-0.1491,-0.34010000000000007,-0.31889999999999996,-0.3844000000000001,0.5619,113.0,16
남부순환로339길,-0.13479999999999992,-0.1342000000000001,-0.007600000000000051,0.026800000000000046,-0.0162,66.0,14
남부순환로97길,-0.22999999999999998,-0.25460000000000005,-0.13739999999999997,-0.18230000000000002,0.0774,72.0,9
남성역골목시장,-0.021700000000000053,-0.13729999999999998,-0.16180000000000005,-0.1995,0.3053,89.0,20
남영역,-0.27049999999999996,-0.2703000000000001,-0.25769999999999993,-0.3539,0.9359,160.0,1
노해로33길,-0.44209999999999994,-0.2478999999999999,-0.2582,-0.06519999999999992,-0.7614,33.0,12
능동로13길,-0.37150000000000005,-0.3276000000000001,-0.32040000000000013,-0.3283999999999999,0.5901,116.0,16
능동로19길,-0.2813,-0.3760000000000001,-0.38970000000000005,-0.4882000000000001,0.3754,95.0,16
